"V1" "V2" "V3"
"1" "Nom" "variable" "Group"
"2" "IND1" "10" "A"
"3" "IND2" "7" "A"
"4" "IND3" "20" "A"
"5" "IND4" "14" "A"
"6" "IND5" "14" "A"
"7" "IND6" "12" "A"
"8" "IND7" "10" "A"
"9" "IND8" "23" "A"
"10" "IND9" "17" "A"
"11" "IND10" "20" "A"
"12" "IND11" "14" "A"
"13" "IND12" "13" "A"
"14" "IND13" "11" "B"
"15" "IND14" "17" "B"
"16" "IND15" "21" "B"
"17" "IND16" "11" "B"
"18" "IND17" "16" "B"
"19" "IND18" "14" "B"
"20" "IND19" "17" "B"
"21" "IND20" "17" "B"
"22" "IND21" "19" "B"
"23" "IND22" "21" "B"
"24" "IND23" "7" "B"
"25" "IND24" "13" "B"
"26" "IND25" "0" "C"
"27" "IND26" "1" "C"
"28" "IND27" "7" "C"
"29" "IND28" "2" "C"
"30" "IND29" "3" "C"
"31" "IND30" "1" "C"
"32" "IND31" "2" "C"
"33" "IND32" "1" "C"
"34" "IND33" "3" "C"
"35" "IND34" "0" "C"
"36" "IND35" "1" "C"
"37" "IND36" "4" "C"
"38" "IND37" "3" "D"
"39" "IND38" "5" "D"
"40" "IND39" "12" "D"
"41" "IND40" "6" "D"
"42" "IND41" "4" "D"
"43" "IND42" "3" "D"
"44" "IND43" "5" "D"
"45" "IND44" "5" "D"
"46" "IND45" "5" "D"
"47" "IND46" "5" "D"
"48" "IND47" "2" "D"
"49" "IND48" "4" "D"
"50" "IND49" "3" "E"
"51" "IND50" "5" "E"
"52" "IND51" "3" "E"
"53" "IND52" "5" "E"
"54" "IND53" "3" "E"
"55" "IND54" "6" "E"
"56" "IND55" "1" "E"
"57" "IND56" "1" "E"
"58" "IND57" "3" "E"
"59" "IND58" "2" "E"
"60" "IND59" "6" "E"
"61" "IND60" "4" "E"
"62" "IND61" "11" "F"
"63" "IND62" "9" "F"
"64" "IND63" "15" "F"
"65" "IND64" "22" "F"
"66" "IND65" "15" "F"
"67" "IND66" "16" "F"
"68" "IND67" "13" "F"
"69" "IND68" "10" "F"
"70" "IND69" "26" "F"
"71" "IND70" "26" "F"
"72" "IND71" "24" "F"
"73" "IND72" "13" "F"
